Nombre,Estatus,Diferencia,Tiempo
"BANCOMEXT",false,N/A,12/05/2026 22:07:12
"BANK OF CHINA",false,N/A,12/05/2026 22:07:12
"BARCLAYS",false,N/A,12/05/2026 22:07:12
"COOPDESARROLLO",false,247 min,12/05/2026 22:07:12
"CRISTOBAL COLON",false,N/A,12/05/2026 22:07:12
"FINAMEX",false,N/A,12/05/2026 22:07:12
"FONDO (FIRA)",false,N/A,12/05/2026 22:07:12
"HIPOTECARIA FED",false,N/A,12/05/2026 22:07:12
"ICBC",false,N/A,12/05/2026 22:07:12
"INDEVAL",false,N/A,12/05/2026 22:07:12
"MASARI",false,N/A,12/05/2026 22:07:12
"MIZUHO BANK",false,N/A,12/05/2026 22:07:12
"MUFG",false,N/A,12/05/2026 22:07:12
"NAFIN",false,N/A,12/05/2026 22:07:12
"PPBALANCEMX",false,N/A,12/05/2026 22:07:12
"PROFUTURO",false,N/A,12/05/2026 22:07:12
"SHINHAN",false,N/A,12/05/2026 22:07:12
"TRANSFER DIRECT",false,N/A,12/05/2026 22:07:12
"UNAGRA",false,N/A,12/05/2026 22:07:12
"VALMEX",false,N/A,12/05/2026 22:07:12
